,birthdate,good_bad_flag,age,flag
41,1988-04-28,Bad,34.6,1.0
42,1988-04-28,Bad,34.6,1.0
162,1984-12-22,Bad,38.0,1.0
163,1984-12-22,Bad,38.0,1.0
164,1984-12-22,Bad,38.0,1.0
185,1991-03-03,Bad,31.8,1.0
186,1991-03-03,Bad,31.8,1.0
187,1979-09-05,Bad,43.3,1.0
188,1982-07-17,Bad,40.4,1.0
189,1982-07-17,Bad,40.4,1.0
190,1982-07-17,Bad,40.4,1.0
191,1981-05-25,Bad,41.5,1.0
192,1981-05-25,Bad,41.5,1.0
193,1981-05-25,Bad,41.5,1.0
194,1981-05-25,Bad,41.5,1.0
195,1981-05-25,Bad,41.5,1.0
196,1981-05-25,Bad,41.5,1.0
197,1981-05-25,Bad,41.5,1.0
198,1981-05-25,Bad,41.5,1.0
199,1981-05-25,Bad,41.5,1.0
200,1981-05-25,Bad,41.5,1.0
201,1990-07-11,Bad,32.4,1.0
202,1990-07-11,Bad,32.4,1.0
203,1990-07-11,Bad,32.4,1.0
249,1987-12-03,Bad,35.0,1.0
250,1987-12-03,Bad,35.0,1.0
278,1990-11-27,Bad,32.0,1.0
279,1990-11-27,Bad,32.0,1.0
280,1990-11-27,Bad,32.0,1.0
352,1986-01-01,Bad,36.9,1.0
353,1986-01-01,Bad,36.9,1.0
394,1992-06-16,Bad,30.5,1.0
395,1987-05-03,Bad,35.6,1.0
396,1987-05-03,Bad,35.6,1.0
397,1987-05-03,Bad,35.6,1.0
398,1987-05-03,Bad,35.6,1.0
399,1987-05-03,Bad,35.6,1.0
400,1987-05-03,Bad,35.6,1.0
401,1984-04-14,Bad,38.7,1.0
402,1984-04-14,Bad,38.7,1.0
403,1984-04-14,Bad,38.7,1.0
404,1984-04-14,Bad,38.7,1.0
430,1983-08-08,Bad,39.3,1.0
431,1983-08-08,Bad,39.3,1.0
432,1983-08-08,Bad,39.3,1.0
433,1983-08-08,Bad,39.3,1.0
434,1983-08-08,Bad,39.3,1.0
473,1981-03-30,Bad,41.7,1.0
474,1981-03-30,Bad,41.7,1.0
475,1981-03-30,Bad,41.7,1.0
476,1981-03-30,Bad,41.7,1.0
477,1981-03-30,Bad,41.7,1.0
478,1981-03-30,Bad,41.7,1.0
479,1981-03-30,Bad,41.7,1.0
480,1981-03-30,Bad,41.7,1.0
481,1981-03-30,Bad,41.7,1.0
490,1994-10-18,Bad,28.1,1.0
493,1988-09-16,Bad,34.2,1.0
494,1988-09-16,Bad,34.2,1.0
495,1988-07-16,Bad,34.4,1.0
496,1988-07-16,Bad,34.4,1.0
497,1988-07-16,Bad,34.4,1.0
498,1966-02-14,Bad,56.8,1.0
499,1966-02-14,Bad,56.8,1.0
500,1966-02-14,Bad,56.8,1.0
529,1993-12-13,Bad,29.0,1.0
530,1993-12-13,Bad,29.0,1.0
531,1993-12-13,Bad,29.0,1.0
543,1979-09-24,Bad,43.2,1.0
544,1979-09-24,Bad,43.2,1.0
545,1979-09-24,Bad,43.2,1.0
546,1979-09-24,Bad,43.2,1.0
547,1979-09-24,Bad,43.2,1.0
548,1979-09-24,Bad,43.2,1.0
549,1979-09-24,Bad,43.2,1.0
550,1979-09-24,Bad,43.2,1.0
551,1979-09-24,Bad,43.2,1.0
552,1979-09-24,Bad,43.2,1.0
553,1979-09-24,Bad,43.2,1.0
609,1982-08-31,Bad,40.3,1.0
610,1982-08-31,Bad,40.3,1.0
611,1982-08-31,Bad,40.3,1.0
612,1982-08-31,Bad,40.3,1.0
613,1982-08-31,Bad,40.3,1.0
614,1982-08-31,Bad,40.3,1.0
615,1982-08-31,Bad,40.3,1.0
616,1982-08-31,Bad,40.3,1.0
617,1982-08-31,Bad,40.3,1.0
618,1982-08-31,Bad,40.3,1.0
619,1982-08-31,Bad,40.3,1.0
666,1980-09-08,Bad,42.3,1.0
667,1976-02-28,Bad,46.8,1.0
668,1976-02-28,Bad,46.8,1.0
669,1976-02-28,Bad,46.8,1.0
670,1976-02-28,Bad,46.8,1.0
671,1976-02-28,Bad,46.8,1.0
672,1976-02-28,Bad,46.8,1.0
673,1976-02-28,Bad,46.8,1.0
674,1976-02-28,Bad,46.8,1.0
675,1976-02-28,Bad,46.8,1.0
685,1990-10-12,Bad,32.2,1.0
686,1990-10-12,Bad,32.2,1.0
687,1990-10-12,Bad,32.2,1.0
688,1990-10-12,Bad,32.2,1.0
689,1990-10-12,Bad,32.2,1.0
690,1990-10-12,Bad,32.2,1.0
691,1990-10-12,Bad,32.2,1.0
