,birthdate,good_bad_flag,age
0,1972-01-15,Good,50.9
1,1972-01-15,Good,50.9
2,1972-01-15,Good,50.9
3,1972-01-15,Good,50.9
4,1972-01-15,Good,50.9
5,1972-01-15,Good,50.9
6,1972-01-15,Good,50.9
7,1972-01-15,Good,50.9
8,1972-01-15,Good,50.9
9,1972-01-15,Good,50.9
10,1972-01-15,Good,50.9
11,1984-09-18,Good,38.2
12,1984-09-18,Good,38.2
13,1984-09-18,Good,38.2
14,1984-09-18,Good,38.2
15,1984-09-18,Good,38.2
16,1984-09-18,Good,38.2
17,1977-10-10,Good,45.2
18,1977-10-10,Good,45.2
19,1986-09-07,Good,36.3
20,1986-09-07,Good,36.3
21,1986-09-07,Good,36.3
22,1986-09-07,Good,36.3
23,1986-09-07,Good,36.3
24,1986-09-07,Good,36.3
25,1986-09-07,Good,36.3
26,1986-09-07,Good,36.3
27,1989-05-29,Good,33.5
28,1989-05-29,Good,33.5
29,1987-09-20,Good,35.2
30,1987-09-20,Good,35.2
31,1987-09-20,Good,35.2
32,1987-09-20,Good,35.2
33,1987-09-20,Good,35.2
34,1987-09-20,Good,35.2
35,1987-09-20,Good,35.2
36,1987-09-20,Good,35.2
37,1987-09-20,Good,35.2
38,1987-06-09,Good,35.5
39,1987-06-09,Good,35.5
40,1987-06-09,Good,35.5
41,1988-04-28,Bad,34.6
42,1988-04-28,Bad,34.6
43,1977-07-21,Good,45.4
44,1977-07-21,Good,45.4
45,1977-07-21,Good,45.4
46,1977-07-21,Good,45.4
47,1977-07-21,Good,45.4
48,1977-07-21,Good,45.4
49,1977-07-21,Good,45.4
50,1977-07-21,Good,45.4
51,1977-07-21,Good,45.4
52,1977-07-21,Good,45.4
53,1979-06-30,Good,43.5
54,1979-06-30,Good,43.5
55,1979-06-30,Good,43.5
56,1979-06-30,Good,43.5
57,1979-06-30,Good,43.5
58,1979-06-30,Good,43.5
59,1979-06-30,Good,43.5
60,1979-06-30,Good,43.5
61,1979-06-30,Good,43.5
62,1979-06-30,Good,43.5
63,1979-06-30,Good,43.5
64,1979-06-30,Good,43.5
65,1981-09-16,Good,41.2
66,1981-09-16,Good,41.2
67,1976-04-22,Good,46.6
68,1976-04-22,Good,46.6
69,1976-04-22,Good,46.6
70,1976-04-22,Good,46.6
71,1976-04-22,Good,46.6
72,1976-04-22,Good,46.6
73,1976-04-22,Good,46.6
74,1976-04-22,Good,46.6
75,1976-04-22,Good,46.6
76,1976-04-22,Good,46.6
77,1976-04-22,Good,46.6
78,1976-04-22,Good,46.6
79,1976-04-22,Good,46.6
80,1976-04-22,Good,46.6
81,1986-03-24,Good,36.7
82,1986-03-24,Good,36.7
83,1986-03-24,Good,36.7
84,1986-03-24,Good,36.7
85,1986-03-24,Good,36.7
86,1986-03-24,Good,36.7
87,1986-03-24,Good,36.7
88,1986-03-24,Good,36.7
89,1986-03-24,Good,36.7
90,1983-02-02,Good,39.9
91,1983-02-02,Good,39.9
92,1983-02-02,Good,39.9
93,1983-02-02,Good,39.9
94,1983-02-02,Good,39.9
95,1983-02-02,Good,39.9
96,1988-05-02,Good,34.6
97,1992-07-16,Good,30.4
98,1992-07-16,Good,30.4
99,1992-07-16,Good,30.4
100,1986-08-16,Good,36.3
101,1986-08-16,Good,36.3
102,1986-08-16,Good,36.3
103,1986-08-16,Good,36.3
104,1991-05-12,Good,31.6
105,1976-10-15,Good,46.2
106,1976-10-15,Good,46.2
107,1976-10-15,Good,46.2
108,1976-10-15,Good,46.2
109,1985-04-30,Good,37.6
110,1985-04-30,Good,37.6
111,1985-04-30,Good,37.6
112,1985-04-30,Good,37.6
113,1985-04-30,Good,37.6
114,1985-04-30,Good,37.6
115,1985-04-30,Good,37.6
116,1985-04-30,Good,37.6
117,1985-04-30,Good,37.6
118,1982-07-21,Good,40.4
119,1982-07-21,Good,40.4
120,1982-07-21,Good,40.4
121,1993-10-18,Good,29.2
122,1993-10-18,Good,29.2
123,1993-10-18,Good,29.2
124,1993-10-18,Good,29.2
125,1988-09-24,Good,34.2
126,1988-09-24,Good,34.2
127,1988-09-24,Good,34.2
128,1988-09-24,Good,34.2
129,1988-09-24,Good,34.2
130,1988-09-24,Good,34.2
131,1988-09-24,Good,34.2
132,1988-09-24,Good,34.2
133,1988-09-24,Good,34.2
134,1988-09-24,Good,34.2
135,1988-09-24,Good,34.2
136,1988-09-24,Good,34.2
137,1988-09-24,Good,34.2
138,1988-09-24,Good,34.2
139,1986-01-30,Good,36.9
140,1986-01-30,Good,36.9
141,1986-01-30,Good,36.9
142,1988-05-19,Good,34.6
143,1988-05-19,Good,34.6
144,1988-05-19,Good,34.6
145,1988-05-19,Good,34.6
146,1988-05-19,Good,34.6
147,1988-05-19,Good,34.6
148,1988-05-19,Good,34.6
149,1974-09-29,Good,48.2
150,1974-09-29,Good,48.2
151,1974-09-29,Good,48.2
152,1974-09-29,Good,48.2
153,1974-09-29,Good,48.2
154,1974-09-29,Good,48.2
155,1974-09-29,Good,48.2
156,1974-09-29,Good,48.2
157,1962-03-07,Good,60.8
158,1962-03-07,Good,60.8
159,1962-03-07,Good,60.8
160,1962-03-07,Good,60.8
161,1962-03-07,Good,60.8
162,1984-12-22,Bad,38.0
163,1984-12-22,Bad,38.0
164,1984-12-22,Bad,38.0
165,1986-09-27,Good,36.2
166,1986-09-27,Good,36.2
167,1986-09-27,Good,36.2
168,1984-12-10,Good,38.0
169,1965-06-14,Good,57.5
170,1984-12-23,Good,38.0
171,1984-12-23,Good,38.0
172,1978-03-14,Good,44.7
173,1978-03-14,Good,44.7
174,1982-05-29,Good,40.5
175,1982-05-29,Good,40.5
176,1987-10-26,Good,35.1
177,1987-10-26,Good,35.1
178,1984-07-01,Good,38.4
179,1988-11-15,Good,34.1
180,1976-05-09,Good,46.6
181,1976-05-09,Good,46.6
182,1986-11-12,Good,36.1
183,1986-04-19,Good,36.7
184,1986-04-19,Good,36.7
185,1991-03-03,Bad,31.8
186,1991-03-03,Bad,31.8
187,1979-09-05,Bad,43.3
188,1982-07-17,Bad,40.4
189,1982-07-17,Bad,40.4
190,1982-07-17,Bad,40.4
191,1981-05-25,Bad,41.6
192,1981-05-25,Bad,41.6
193,1981-05-25,Bad,41.6
194,1981-05-25,Bad,41.6
195,1981-05-25,Bad,41.6
196,1981-05-25,Bad,41.6
197,1981-05-25,Bad,41.6
198,1981-05-25,Bad,41.6
199,1981-05-25,Bad,41.6
200,1981-05-25,Bad,41.6
201,1990-07-11,Bad,32.4
202,1990-07-11,Bad,32.4
203,1990-07-11,Bad,32.4
204,1988-02-27,Good,34.8
205,1988-02-27,Good,34.8
206,1988-02-27,Good,34.8
207,1988-02-27,Good,34.8
208,1988-02-27,Good,34.8
209,1988-02-27,Good,34.8
210,1988-02-27,Good,34.8
211,1988-02-27,Good,34.8
212,1988-02-27,Good,34.8
213,1988-02-27,Good,34.8
214,1988-02-27,Good,34.8
215,1988-02-27,Good,34.8
216,1973-11-05,Good,49.1
217,1973-11-05,Good,49.1
218,1973-11-05,Good,49.1
219,1973-11-05,Good,49.1
220,1973-11-05,Good,49.1
221,1973-11-05,Good,49.1
222,1986-03-03,Good,36.8
223,1986-03-03,Good,36.8
224,1986-03-03,Good,36.8
225,1986-03-03,Good,36.8
226,1986-03-03,Good,36.8
227,1986-03-03,Good,36.8
228,1986-03-03,Good,36.8
229,1986-03-03,Good,36.8
230,1986-03-03,Good,36.8
231,1986-03-03,Good,36.8
232,1985-02-25,Good,37.8
233,1985-02-25,Good,37.8
234,1985-02-25,Good,37.8
235,1985-02-25,Good,37.8
236,1985-02-25,Good,37.8
237,1985-02-25,Good,37.8
238,1985-02-25,Good,37.8
239,1985-02-25,Good,37.8
240,1985-02-25,Good,37.8
241,1985-02-25,Good,37.8
242,1985-02-25,Good,37.8
243,1985-02-25,Good,37.8
244,1989-09-13,Good,33.2
245,1989-09-13,Good,33.2
246,1989-09-13,Good,33.2
247,1989-09-13,Good,33.2
248,1989-09-13,Good,33.2
249,1987-12-03,Bad,35.0
250,1987-12-03,Bad,35.0
251,1983-02-24,Good,39.8
252,1983-02-24,Good,39.8
253,1983-02-24,Good,39.8
254,1983-02-24,Good,39.8
255,1977-08-08,Good,45.3
256,1977-08-08,Good,45.3
257,1977-08-08,Good,45.3
258,1985-09-01,Good,37.3
259,1985-09-01,Good,37.3
260,1985-09-01,Good,37.3
261,1964-10-21,Good,58.1
262,1964-10-21,Good,58.1
263,1964-10-21,Good,58.1
264,1964-10-21,Good,58.1
265,1964-10-21,Good,58.1
266,1964-10-21,Good,58.1
267,1975-07-15,Good,47.4
268,1975-07-15,Good,47.4
269,1975-07-15,Good,47.4
270,1975-07-15,Good,47.4
271,1975-07-15,Good,47.4
272,1975-07-15,Good,47.4
273,1975-07-15,Good,47.4
274,1975-07-15,Good,47.4
275,1975-07-15,Good,47.4
276,1983-05-18,Good,39.6
277,1983-05-18,Good,39.6
278,1990-11-27,Bad,32.0
279,1990-11-27,Bad,32.0
280,1990-11-27,Bad,32.0
281,1990-05-11,Good,32.6
282,1990-05-11,Good,32.6
283,1990-05-11,Good,32.6
284,1990-05-11,Good,32.6
285,1990-05-11,Good,32.6
286,1990-05-11,Good,32.6
287,1990-05-11,Good,32.6
288,1990-05-11,Good,32.6
289,1990-05-11,Good,32.6
290,1986-07-02,Good,36.4
291,1986-07-02,Good,36.4
292,1986-07-02,Good,36.4
293,1981-01-21,Good,41.9
294,1981-01-21,Good,41.9
295,1981-01-21,Good,41.9
296,1981-01-21,Good,41.9
297,1982-06-14,Good,40.5
298,1982-06-14,Good,40.5
299,1982-06-14,Good,40.5
300,1982-06-14,Good,40.5
301,1982-06-14,Good,40.5
302,1982-06-14,Good,40.5
303,1982-06-14,Good,40.5
304,1982-06-14,Good,40.5
305,1993-08-12,Good,29.3
306,1993-08-12,Good,29.3
307,1993-08-12,Good,29.3
308,1993-08-12,Good,29.3
309,1993-08-12,Good,29.3
310,1993-08-12,Good,29.3
311,1993-08-12,Good,29.3
312,1993-08-12,Good,29.3
313,1984-11-17,Good,38.1
314,1984-11-22,Good,38.1
315,1984-11-22,Good,38.1
316,1984-11-22,Good,38.1
317,1984-11-22,Good,38.1
318,1983-01-18,Good,39.9
319,1983-01-18,Good,39.9
320,1983-01-18,Good,39.9
321,1985-08-25,Good,37.3
322,1985-08-25,Good,37.3
323,1985-08-25,Good,37.3
324,1985-08-25,Good,37.3
325,1985-08-25,Good,37.3
326,1985-07-22,Good,37.4
327,1985-07-22,Good,37.4
328,1985-07-22,Good,37.4
329,1988-06-26,Good,34.5
330,1988-06-26,Good,34.5
331,1988-06-26,Good,34.5
332,1988-06-26,Good,34.5
333,1975-05-12,Good,47.6
334,1975-05-12,Good,47.6
335,1975-05-12,Good,47.6
336,1975-05-12,Good,47.6
337,1975-05-12,Good,47.6
338,1975-05-12,Good,47.6
339,1975-05-12,Good,47.6
340,1975-05-12,Good,47.6
341,1983-11-23,Good,39.1
342,1983-11-23,Good,39.1
343,1983-11-23,Good,39.1
344,1983-11-23,Good,39.1
345,1983-11-23,Good,39.1
346,1983-11-23,Good,39.1
347,1989-05-28,Good,33.5
348,1989-05-28,Good,33.5
349,1989-05-28,Good,33.5
350,1989-05-28,Good,33.5
351,1984-02-25,Good,38.8
352,1986-01-01,Bad,36.9
353,1986-01-01,Bad,36.9
354,1990-03-30,Good,32.7
355,1982-11-14,Good,40.1
356,1988-06-04,Good,34.5
357,1986-12-02,Good,36.0
358,1986-12-02,Good,36.0
359,1992-02-26,Good,30.8
360,1993-02-15,Good,29.8
361,1991-08-19,Good,31.3
362,1991-08-19,Good,31.3
363,1991-08-19,Good,31.3
364,1991-08-19,Good,31.3
365,1991-08-19,Good,31.3
366,1991-08-19,Good,31.3
367,1991-08-19,Good,31.3
368,1991-08-19,Good,31.3
369,1991-08-19,Good,31.3
370,1991-08-19,Good,31.3
371,1984-12-22,Good,38.0
372,1984-12-22,Good,38.0
373,1984-12-22,Good,38.0
374,1984-12-22,Good,38.0
375,1984-12-22,Good,38.0
376,1977-03-15,Good,45.7
377,1977-03-15,Good,45.7
378,1980-12-07,Good,42.0
379,1980-12-07,Good,42.0
380,1980-12-07,Good,42.0
381,1980-12-07,Good,42.0
382,1980-12-07,Good,42.0
383,1990-04-04,Good,32.7
384,1990-04-04,Good,32.7
385,1990-04-04,Good,32.7
386,1978-04-19,Good,44.7
387,1978-04-19,Good,44.7
388,1978-04-19,Good,44.7
389,1978-04-19,Good,44.7
390,1978-04-19,Good,44.7
391,1978-04-19,Good,44.7
392,1978-04-19,Good,44.7
393,1986-09-23,Good,36.2
394,1992-06-16,Bad,30.5
395,1987-05-03,Bad,35.6
396,1987-05-03,Bad,35.6
397,1987-05-03,Bad,35.6
398,1987-05-03,Bad,35.6
399,1987-05-03,Bad,35.6
400,1987-05-03,Bad,35.6
401,1984-04-14,Bad,38.7
402,1984-04-14,Bad,38.7
403,1984-04-14,Bad,38.7
404,1984-04-14,Bad,38.7
405,1979-09-23,Good,43.2
406,1979-09-23,Good,43.2
407,1979-09-23,Good,43.2
408,1979-09-23,Good,43.2
409,1979-09-23,Good,43.2
410,1979-09-23,Good,43.2
411,1979-09-23,Good,43.2
412,1979-09-23,Good,43.2
413,1979-09-23,Good,43.2
414,1979-09-23,Good,43.2
415,1979-09-23,Good,43.2
416,1979-09-23,Good,43.2
417,1979-09-23,Good,43.2
418,1979-09-23,Good,43.2
419,1981-06-20,Good,41.5
420,1981-06-20,Good,41.5
421,1981-06-20,Good,41.5
422,1981-06-20,Good,41.5
423,1981-06-20,Good,41.5
424,1981-06-20,Good,41.5
425,1981-06-20,Good,41.5
426,1981-06-20,Good,41.5
427,1981-06-20,Good,41.5
428,1981-06-20,Good,41.5
429,1981-06-20,Good,41.5
430,1983-08-08,Bad,39.3
431,1983-08-08,Bad,39.3
432,1983-08-08,Bad,39.3
433,1983-08-08,Bad,39.3
434,1983-08-08,Bad,39.3
435,1979-02-16,Good,43.8
436,1979-02-16,Good,43.8
437,1979-02-16,Good,43.8
438,1977-09-21,Good,45.2
439,1977-09-21,Good,45.2
440,1977-09-21,Good,45.2
441,1977-09-21,Good,45.2
442,1977-09-21,Good,45.2
443,1977-09-21,Good,45.2
444,1987-11-28,Good,35.0
445,1987-11-28,Good,35.0
446,1987-11-28,Good,35.0
447,1987-11-28,Good,35.0
448,1987-11-28,Good,35.0
449,1987-11-28,Good,35.0
450,1987-11-28,Good,35.0
451,1987-11-28,Good,35.0
452,1976-08-30,Good,46.3
453,1976-08-30,Good,46.3
454,1976-08-30,Good,46.3
455,1983-12-28,Good,39.0
456,1983-12-28,Good,39.0
457,1983-12-28,Good,39.0
458,1983-12-28,Good,39.0
459,1983-12-28,Good,39.0
460,1983-12-28,Good,39.0
461,1983-12-28,Good,39.0
462,1983-12-28,Good,39.0
463,1992-05-22,Good,30.6
464,1986-06-06,Good,36.5
465,1986-06-06,Good,36.5
466,1986-06-06,Good,36.5
467,1986-06-06,Good,36.5
468,1986-06-06,Good,36.5
469,1986-06-06,Good,36.5
470,1986-06-06,Good,36.5
471,1986-06-06,Good,36.5
472,1986-06-06,Good,36.5
473,1981-03-30,Bad,41.7
474,1981-03-30,Bad,41.7
475,1981-03-30,Bad,41.7
476,1981-03-30,Bad,41.7
477,1981-03-30,Bad,41.7
478,1981-03-30,Bad,41.7
479,1981-03-30,Bad,41.7
480,1981-03-30,Bad,41.7
481,1981-03-30,Bad,41.7
482,1985-12-25,Good,37.0
483,1979-05-09,Good,43.6
484,1983-07-14,Good,39.4
485,1983-07-14,Good,39.4
486,1983-07-14,Good,39.4
487,1983-07-14,Good,39.4
488,1991-03-01,Good,31.8
489,1991-03-01,Good,31.8
490,1994-10-18,Bad,28.2
491,1980-02-28,Good,42.8
