,loannumber,loanamount,totaldue,termdays,perf_loannumber,perf_loanamount,perf_totaldue,perf_termdays,longitude_gps,latitude_gps,age,loanlifewithdelta,firstrepaymentlapsewithdelta,flag,good_bad_flag
0,2,10000.0,13000.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,16.947407407407407,12.339085648148147,0.0,Good
1,9,10000.0,13000.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,29.87912037037037,4.0,0.0,Good
2,8,20000.0,23800.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,52.51570601851852,-22.91929398148148,0.0,Good
3,10,20000.0,24500.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,24.117881944444445,7.365324074074074,0.0,Good
4,11,20000.0,24500.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,26.927905092592592,5.663576388888889,0.0,Good
5,6,20000.0,23800.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,69.09554398148148,-39.545266203703704,0.0,Good
6,4,20000.0,24500.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,30.60354166666667,-0.3434490740740741,0.0,Good
7,7,20000.0,23800.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,1.2500810185185185,28.242893518518517,0.0,Good
8,1,10000.0,13000.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,5.453136574074074,23.64289351851852,0.0,Good
9,3,20000.0,24500.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,29.428958333333334,0.2584606481481482,0.0,Good
10,5,30000.0,34500.0,30,12,30000.0,34500.0,30,3.4320102,6.4330553,50.9,44.13837962962963,-14.48306712962963,0.0,Good
11,5,10000.0,11500.0,15,7,20000.0,22250.0,15,11.1393496,10.2920413,38.2,14.34039351851852,-0.03383101851851852,0.0,Good
12,6,10000.0,11500.0,15,7,20000.0,22250.0,15,11.1393496,10.2920413,38.2,14.729479166666666,-0.1719212962962963,0.0,Good
13,1,10000.0,11500.0,15,7,20000.0,22250.0,15,11.1393496,10.2920413,38.2,5.84619212962963,9.98800925925926,0.0,Good
14,3,10000.0,11500.0,15,7,20000.0,22250.0,15,11.1393496,10.2920413,38.2,6.932453703703704,7.562337962962963,0.0,Good
